source_id,source_label,target_id,target_label,edge_type,epistemic_status,role,amount_usd,note,weight,source_doc
banks,Brian Roderick Banks,pca,Purpose Charter Academy,employment,record,Superintendent,,,10,purposecharteracademy.com
banks,Brian Roderick Banks,macdowell,MacDowell Preparatory Academy,employment,record,Superintendent,,,10,macdowellprep.com
banks,Brian Roderick Banks,purpose_group,"The Purpose Group, LLC",ownership,record,Sole member,,,10,LARA 803295082
banks,Brian Roderick Banks,purpose_foundation,Purpose Foundation,governance,record,President + Agent,,,8,LARA 803294855
banks,Brian Roderick Banks,banks_strategy,Banks Strategy & Consultants LLC,ownership,record,Owner,,,8,LARA 802070120
banks,Brian Roderick Banks,serenity,Serenity Guardianship Services,ownership,record,Principal (dissolved),,,5,LARA 802290962
banks,Brian Roderick Banks,city_hill,City Hill Church,governance,record,Pastor / controller,,,5,LARA 802365641
banks,Brian Roderick Banks,sun_community,Sun Community Development Corp,governance,record,Officer,,,5,LARA 803232314
banks,Brian Roderick Banks,pacs,Political Action Committees,governance,record,Treasurer (Bank on Wayne Co.),,,6,CFRS
banks,Brian Roderick Banks,ofa,OFA Michigan,governance,record,Officer (Holland's PO Box),,,4,LARA
holland,Joseph Holland Jr.,banks,Brian Roderick Banks,co-resident,record,,,"Same address: 1968 Severn Rd, GPW",9,Wayne County ROD
holland,Joseph Holland Jr.,purpose_foundation,Purpose Foundation,governance,record,Secretary + Treasurer,,,8,LARA 803294855
holland,Joseph Holland Jr.,pacs,Political Action Committees,governance,record,Treasurer (Bank on Banks PAC),,,7,CFRS
holland,Joseph Holland Jr.,ofa,OFA Michigan,governance,record,Officer,,,4,LARA
miller,Judge Cylenthia Miller,pca,Purpose Charter Academy,board_membership,record,Board Chair,,,9,purposecharteracademy.com/boardofdirectors (Sep 2026)
miller,Judge Cylenthia Miller,anchor_rock,Anchor Rock Foundation,board_membership,record,Board Chair (historical),,,7,LARA 802394934
miller,Judge Cylenthia Miller,court_3rd,Wayne County 3rd Circuit Court,bench,record,Judge,,,10,
